Siruta,Localitate,Venituri,Cheltuieli
29813,Lazareni,200497,369078
29902,Lugasu De Jos,330212,392645
29948,Lunca,198148,402316
30014,Madaras,201892,371771
30069,Magesti,331607,395338
30149,Nojorid,199543,405009
30229,Olcea,203287,374464
30274,Osorhei,333002,398031
30336,Pietroasa,200938,407702
30416,Pocola,204682,377157
30470,Pomezeu,334397,400724
30568,Popesti,202333,410395
30648,Rabagani,206077,379850
30719,Remetea,335792,403417
30773,Rieni,203728,413088
30844,Rosia,207472,382543
30871,Sacadat,337187,406110
30915,Oras Sacueni,205123,415781
30988,Salacea,208867,385236
31011,Salard,338582,408803
31057,Sambata,206518,418474
31128,Sarbi,210262,387929
31208,Spinus,339977,411496
31262,Suplacu De Barcau,207913,421167
31333,Simian,211657,390622
31379,Sinteu,341372,414189
31422,Soimi,209308,423860
31510,Suncuius,213052,393315
31565,Tarcea,342767,416882
31609,Tarcaia,210703,426553
31654,Tauteu,214447,396008
31716,Tileagd,344162,419575
31789,Tinca,212098,429246
31841,Tulca,215842,398701
31878,Tetchea,345557,422268
31921,Uileacu De Beius,213493,431939
31976,Vadu Crisului,217237,401394
32027,Oras Valea Lui Mihai,346952,424961
32045,Viisoara,214888,434632
32090,Varciorog,218632,404087
32153,Tamaseu,348347,427654
32161,Paleu,216283,437325
32179,Sannicolau Roman,220027,406780
32187,Rosiori,349742,430347
32195,Gepiu,217678,440018
32201,Toboliu,221422,409473
32394,Municipiul Bistrita,351137,433040
32483,Oras Beclean,219073,442711
32544,Oras Nasaud,222817,412166
32599,Oras Sangeorz-Bai,352532,435733
32633,Bistrita Bargaului,220468,445404
32660,Branistea,224212,414859
32704,Budacu De Jos,353927,438426
32768,Budesti,221863,448097
32811,Caianu Mic,225607,417552
32884,Cetate,355322,441119
32955,Ciceu-Giurgesti,223258,450790
33015,Chiochis,227002,420245
33122,Chiuza,356717,443812
33177,Cosbuc,224653,453483
33202,Dumitra,228397,422938
33248,Feldru,358112,446505
33275,Galatii Bistritei,226048,456176
33337,Ilva Mare,229792,425631
33364,Ilva Mica,359507,449198
33382,Josenii Bargaului,227443,458869
33435,Lechinta,231187,428324
33514,Lesu,360902,451891
33541,Livezile,228838,461562
33603,Lunca Ilvei,232582,431017
33621,Maieru,362297,454584
33658,Matei,230233,464255
33729,Magura Ilvei,233977,433710
33765,Mariselu,363692,457277
33845,Micestii De Campie,231628,466948
33881,Milas,235372,436403
33952,Monor,365087,459970
33989,Nimigea,233023,469641
34075,Nuseni,236767,439096
34155,Parva,366482,462663
34173,Petru Rares,234418,472334
34235,Prundu Bargaului,238162,441789
34262,Rebra,367877,465356
34280,Rebrisoara,235813,475027
34333,Rodna,239557,444482
34360,Romuli,369272,468049
34397,Salva,237208,477720
34422,Silivasu De Campie,240952,447175
34477,Sanmihaiu De Campie,370667,470742
34547,Spermezeu,238603,480413
34618,Sant,242347,449868
34645,Sieu,372062,473435
34690,Sieu-Magherus,239998,483106
34770,Sieu-Odorhei,243742,452561
34850,Sieut,373457,476128
34903,Sintereag,241393,485799
34985,Teaca,245137,455254
35054,Telciu,374852,478821
35090,Tiha Bargaului,242788,488492
35152,Tarlisua,246532,457947
35269,Uriu,376247,481514
35312,Urmenis,244183,491185
35429,Zagra,247927,460640
35731,Municipiul Botosani,377642,484207
35759,Curtesti,245578,493878
35839,Rachiti,249322,463333
35884,Stauceni,379037,486900
35946,Oras Darabani,246973,496571
36006,Municipiul Dorohoi,250717,466026
36060,Oras Saveni,380432,489593
36131,Albesti,248368,499264
36202,Avrameni,252112,468719
36300,Baluseni,381827,492286
36373,Braesti,249763,501957
36426,Broscauti,253507,471412
36453,Oras Bucecea,383222,494979
36499,Calarasi,251158,504650
36532,Concesti,254902,474105
36569,Copalau,384617,497672
36649,Cordareni,252553,507343
36676,Corlateni,256297,476798
36756,Corni,386012,500365
36809,Cotusca,253948,510036
36907,Cristesti,257692,479491
36952,Cristinesti,387407,503058
37011,Dersca,255343,512729
37057,Dangeni,259087,482184
37100,Dobarceni,388802,505751
37173,Draguseni,256738,515422
37217,Durnesti,260482,484877
37280,Oras Flamanzi,390197,508444
37324,Frumusica,258133,518115
37397,George Enescu,261877,487570
37459,Gorbanesti,391592,511137
37547,Havarna,259528,520808
37618,Hanesti,263272,490263
37672,Hiliseu-Horia,392987,513830
37734,Hlipiceni,260923,523501
37770,Hudesti,264667,492956
37823,Ibanesti,394382,516523
37850,Leorda,262318,526194
37912,Lunca,266062,495649
37958,Manoleasa,395777,519216
38063,Mihai Eminescu,263713,528887
38161,Mihaileni,267457,498342
38241,Mihalaseni,397172,521909
38321,Mileanca,265108,531580
38376,Mitoc,268852,501035
38456,Nicseni,398567,524602
38492,Paltinis,266503,534273
38544,Pomarla,270247,503728
38580,Prajeni,399962,527295
38633,Radauti-Prut,267898,536966
38679,Rauseni,271642,506421
38731,Ripiceni,401357,529988
38811,Roma,269293,539659
38848,Romanesti,273037,509114
38893,Santa Mare,402752,532681
38982,Suharau,270688,542352
39051,Sulita,274432,511807
39122,Sendriceni,404147,535374
39168,Oras Stefanesti,272083,545045
39220,Stiubieni,275827,514500
39266,Todireni,405542,538067
39328,Trusesti,273478,547738
39391,Tudora,277222,517193
39417,Ungureni,406937,540760
39532,Unteni,274873,550431
39612,Vaculesti,278617,519886
39658,Viisoara,408332,543453
39694,Varfu Campului,276268,553124
39738,Vladeni,280012,522579
39792,Vlasinesti,409727,546146
39836,Vorniceni,277663,555817
39872,Vorona,281407,525272
39942,Lozna,411122,548839
39959,Dimacheni,279058,558510
39967,Candesti,282802,527965
39975,Cosula,412517,551532
39983,Blandesti,280453,561203
40035,Adaseni,284197,530658
40198,Municipiul Brasov,413912,554225
40214,Oras Ghimbav,281848,563896
40241,Municipiul Codlea,285592,533351
40278,Municipiul Fagaras,415307,556918
40303,Oras Predeal,283243,566589
40367,Oras Rasnov,286987,536044
40394,Oras Rupea,416702,559611
40438,Municipiul Sacele,284638,569282
40465,Oras Victoria,288382,538737
40492,Oras Zarnesti,418097,562304
40526,Apata,286033,571975
40544,Beclean,289777,541430
40606,Bod,419492,564997
40633,Bran,287428,574668
40688,Budila,291172,544123
40704,Bunesti,420887,567690
40768,Cata,288823,577361
40820,Cincu,292567,546816
40857,Comana,422282,570383
40900,Cristian,290218,580054
40928,Dumbravita,293962,549509
40955,Feldioara,423677,573076
40991,Fundata,291613,582747
41033,Halchiu,295357,552202
41088,Harman,425072,575769
41113,Harseni,293008,585440
41177,Hoghiz,296752,554895
41248,Homorod,426467,578462
41284,Jibert,294403,588133
41346,Lisa,298147,557588
41382,Maierus,427862,581155
41417,Mandra,295798,590826
41471,Moieciu,299542,560281
41541,Ormenis,429257,583848
41578,Parau,297193,593519
41621,Poiana Marului,300937,562974
41667,Prejmer,430652,586541
41701,Racos,298588,596212
41738,Recea,302332,565667
41818,Sercaia,432047,589234
41854,Sinca,299983,598905
41925,Sanpetru,303727,568360
41943,Soars,433442,591927
42003,Tarlungeni,301378,601598
42058,Teliu,305122,571053
42076,Ticusu,434837,594620
42101,Ucea,302773,604291
42156,Ungra,306517,573746
42183,Vama Buzaului,436232,597313
42236,Vistea,304168,606984
42307,Voila,307912,576439
42398,Vulcan,437627,600006
42449,Sinca Noua,305563,609677
42456,Crizbav,309307,579132
42464,Sambata De Sus,439022,602699
42472,Holbav,306958,612370
42480,Dragus,310702,581825
42498,Augustin,440417,605392
42682,Municipiul Braila,308353,615063
42708,Chiscani,312097,584518
42753,Oras Faurei,441812,608085
42771,Surdila-Greci,309748,617756
42824,Baraganul,313492,587211
42842,Bertestii De Jos,443207,610778
42913,Bordei Verde,311143,620449
42968,Ciocile,314887,589904
43019,Ciresu,444602,613471
43073,Dudesti,312538,623142
43117,Frecatei,316282,592597
43180,Galbenu,445997,616164
43242,Gemenele,313933,625835
43279,Gradistea,317677,595290
43313,Gropeni,447392,618857
43331,Oras Ianca,315328,628528
43411,Oras Insuratei,319072,597983
43466,Jirlau,448787,621550
43493,Marasu,316723,631221
43563,Maxineni,320467,600676
43625,Mircea Voda,450182,624243
43652,Movila Miresii,318118,633914
43698,Racovita,321862,603369
43732,Ramnicelu,451577,626936
43787,Romanu,319513,636607
43812,Rosiori,323257,606062
43867,Salcia Tudor,452972,629629
43929,Scortaru Nou,320908,639300
43992,Silistea,324652,608755
44060,Stancuta,454367,632322
44113,Surdila-Gaiseanca,322303,641993
44140,Sutesti,326047,611448
44177,Tichilesti,455762,635015
44202,Traian,323698,644686
44257,Tudor Vladimirescu,327442,614141
44300,Tufesti,457157,637708
44328,Ulmu,325093,647379
44355,Unirea,328837,616834
44391,Vadeni,458552,640401
44435,Victoria,326488,650072
44462,Visani,330232,619527
44505,Viziru,459947,643094
44532,Zavoaia,327883,652765
44560,Cazasu,331627,622220
44818,Municipiul Buzau,461342,645787
44845,Municipiul Ramnicu Sarat,329278,655458
44863,Amaru,333022,624913
44934,Balta Alba,462737,648480
44989,Balaceanu,330673,658151
45003,Beceni,334417,627606
45101,Berca,464132,651173
45245,Bisoca,332068,660844
45334,Blajani,335812,630299
45361,Boldu,465527,653866
45389,Bozioru,333463,663537
45496,Bradeanu,337207,632992
45539,Braesti,466922,656559
45619,Breaza,334858,666230
45673,Buda,338602,635685
45753,Calvini,468317,659252
45815,C.a. Rosetti,336253,668923
45888,Canesti,339997,638378
45959,Catina,469712,661945
46019,Cernatesti,337648,671616
46108,Chiliile,341392,641071
46180,Chiojdu,471107,664638
46251,Cilibia,339043,674309
46313,Cislau,342787,643764
46377,Cochirleanca,472502,667331
46439,Colti,340438,677002
46484,Costesti,344182,646457
46554,Cozieni,473897,670024
46769,Galbinasi,341833,679695
46803,Gheraseni,345577,649150
46830,Ghergheasa,475292,672717
46867,Glodeanu Sarat,343228,682388
46910,Glodeanu-Silistea,346972,651843
47006,Grebanu,476687,675410
47079,Gura Teghii,344623,685081
47159,Largu,348367,654536
47186,Lopatari,478082,678103
47300,Luciu,346018,687774
47337,Magura,349762,657229
47373,Maracineni,479477,680796
47417,Margaritesti,347413,690467
47453,Merei,351157,659922
47578,Mihailesti,480872,683489
47630,Manzalesti,348808,693160
47774,Movila Banului,352552,662615
47818,Murgesti,482267,686182
47854,Naeni,350203,695853
47916,Oras Nehoiu,353947,665308
48021,Odaile,483662,688875
48138,Padina,351598,698546
48165,Pardosi,355342,668001
48227,Panatau,485057,691568
48325,Oras Patarlagele,352993,701239
48487,Pietroasele,356737,670694
48557,Parscov,486452,694261
48682,Podgoria,354388,703932
48744,Oras Pogoanele,358132,673387
48771,Posta Calnau,487847,696954
48842,Puiesti,355783,706625
48922,Racoviteni,359527,676080
48968,Ramnicelu,489242,699647
49019,Robeasca,357178,709318
49046,Rusetu,360922,678773
49073,Sageata,490637,702340
49153,Sahateni,358573,712011
49206,Sapoca,362317,681466
49233,Sarulesti,492032,705033
49313,Scortoasa,359968,714704
49439,Scutelnici,363712,684159
49484,Siriu,493427,707726
49545,Smeeni,361363,717397
49625,Stalpu,365107,686852
49643,Tisau,494822,710419
49769,Topliceni,362758,720090
49849,Tintesti,366502,689545
49894,Ulmeni,496217,713112
49956,Vadu Pasii,364153,722783
50022,Valea Ramnicului,367897,692238
50068,Valea Salciei,497612,715805
50102,Vernesti,365548,725476
50228,Vintila Voda,369292,694931
50326,Viperesti,499007,718498
50399,Valcelele,366943,728169
50415,Zarnesti,370687,697624
50479,Ziduri,500402,721191
50549,Unguriu,368338,730862
50564,Florica,372082,700317
50790,Municipiul Resita,501797,723884
50889,Oras Anina,369733,733555
50923,Oras Baile Herculane,373477,703010
50969,Oras Bocsa,503192,726577
50987,Ocna De Fier,371128,736248
51010,Municipiul Caransebes,374872,705703
51056,Oras Moldova Noua,504587,729270
51118,Oras Oravita,372523,738941
51207,Oras Otelu Rosu,376267,708396
51243,Armenis,505982,731963
51305,Bania,373918,741634
51332,Bautar,377662,711089
51387,Berliste,507377,734656
51449,Berzasca,375313,744327
51500,Berzovia,379057,713782
51546,Bolvasnita,508772,737349
51573,Bozovici,376708,747020
51626,Brebu,380452,716475
51662,Brebu Nou,510167,740042
51699,Buchin,378103,749713
51751,Bucosnita,381847,719168
51804,Carasova,511562,742735
51840,Carbunari,379498,752406
51877,Constantin Daicoviciu,383242,721861
51948,Ciclova Romana,512957,745428
51984,Ciuchici,380893,755099
52035,Ciudanovita,384637,724554
52062,Copacele,514352,748121
52115,Cornea,382288,757792
52160,Cornereva,386032,727247
52570,Dalboset,515747,750814
52650,Doclin,383683,760485
52696,Dognecea,387427,729940
52721,Domasnea,517142,753507
52758,Ezeris,385078,763178
52785,Farliug,388822,732633
52856,Forotic,518537,756200
52909,Garnic,386473,765871
52936,Glimboca,390217,735326
52954,Goruia,519932,758893
52990,Gradinari,387868,768564
53023,Iablanita,391612,738019
53069,Lapusnicel,521327,761586
53103,Lapusnicu Mare,389263,771257
53130,Luncavita,393007,740712
53167,Lupac,522722,764279
53210,Marga,390658,773950
53247,Maureni,394402,743405
53274,Mehadia,524117,766972
53327,Mehadica,392053,776643
53345,Naidas,395797,746098
53372,Obreja,525512,769665
53425,Paltinis,393448,779336
53489,Coronini,397192,748791
53513,Pojejena,526907,772358
53577,Prigor,394843,782029
53639,Ramna,398587,751484
53675,Racasdia,528302,775051
53700,Eftimie Murgu,396238,784722
53728,Rusca Montana,399982,754177
53755,Sacu,529697,777744
53791,Sasca Montana,397633,787415
53853,Sichevita,401377,756870
54056,Slatina-Timis,531092,780437
54109,Socol,399028,790108
54163,Sopotu Nou,402772,759563
54270,Teregova,532487,783130
54305,Ticvaniu Mare,400423,792801
54350,Tarnova,404167,762256
54387,Toplet,533882,785823
54412,Turnu Ruieni,401818,795494
54485,Valiug,405562,764949
54500,Varadia,535277,788516
54537,Vermes,403213,798187
54573,Vrani,406957,767642
54617,Zavoi,536672,791209
54699,Zorlentu Mare,404608,800880
54975,Municipiul Cluj-Napoca,408352,770335
55008,Municipiul Dej,538067,793902
55062,Cuzdrioara,406003,803573
55106,Jichisu De Jos,409747,773028
55160,Mica,539462,796595
55259,Municipiul Turda,407398,806266
55277,Mihai Viteazu,411142,775721
55311,Sandulesti,540857,799288
55357,Municipiul Campia Turzii,408793,808959
55384,Municipiul Gherla,412537,778414
55446,Oras Huedin,542252,801981
55473,Aghiresu,410188,811652
55598,Aiton,413932,781107
55623,Alunis,543647,804674
55687,Apahida,411583,814345
55776,Aschileu,415327,783800
55838,Baciu,545042,807367
55918,Baisoara,412978,817038
56014,Belis,416722,786493
56096,Bobalna,546437,810060
56210,Bontida,414373,819731
56265,Borsa,418117,789186
56327,Buza,547832,812753
56354,Caianu,415768,822424
56425,Calarasi,419512,791879
56461,Calatele,549227,815446
56522,Camarasu,417163,825117
56568,Capusu Mare,420907,794572
56666,Caseiu,550622,818139
56773,Catina,418558,827810
56844,Ceanu Mare,422302,797265
56988,Chinteni,552017,820832
57083,Chiuiesti,419953,830503
57163,Ciucea,423697,799958
57225,Ciurila,553412,823525
57314,Catcau,421348,833196
57350,Cojocna,425092,802651
57449,Cornesti,554807,826218
57546,Dabaca,422743,835889
57582,Feleacu,426487,805344
57644,Fizesu Gherlii,556202,828911
57706,Floresti,424138,838582
57742,Frata,427882,808037
57831,Geaca,557597,831604
